jurisdiction_com_code,jurisdiction_com_name,subjurisdiction_name,subjurisdiction_code
AL,Alabama,Lowndes,085
AL,Alabama,Macon,087
AL,Alabama,Madison,089
AL,Alabama,Marengo,091
AL,Alabama,Marion,093
AL,Alabama,Marshall,095
AL,Alabama,Mobile,097
AL,Alabama,Monroe,099
AL,Alabama,Montgomery,101
AL,Alabama,Morgan,103
AL,Alabama,Perry,105
AL,Alabama,Pickens,107
AL,Alabama,Pike,109
AL,Alabama,Randolph,111
AL,Alabama,Russell,113
AL,Alabama,St. Clair,115
AL,Alabama,Shelby,117
AL,Alabama,Sumter,119
AL,Alabama,Talladega,121
AL,Alabama,Tallapoosa,123
AL,Alabama,Tuscaloosa,125
AL,Alabama,Walker,127
AL,Alabama,Washington,129
AL,Alabama,Wilcox,131
AL,Alabama,Winston,133
AR,Arkansas,Arkansas,001
AR,Arkansas,Ashley,003
AR,Arkansas,Baxter,005
AR,Arkansas,Benton,007
AR,Arkansas,Boone,009
AR,Arkansas,Bradley,011
AR,Arkansas,Calhoun,013
AR,Arkansas,Carroll,015
AR,Arkansas,Chicot,017
AR,Arkansas,Clark,019
AR,Arkansas,Clay,021
AR,Arkansas,Cleburne,023
AR,Arkansas,Cleveland,025
AR,Arkansas,Columbia,027
AR,Arkansas,Conway,029
AR,Arkansas,Craighead,031
AR,Arkansas,Crawford,033
AR,Arkansas,Crittenden,035
AR,Arkansas,Cross,037
AR,Arkansas,Dallas,039
AR,Arkansas,Desha,041
AR,Arkansas,Drew,043
AR,Arkansas,Faulkner,045
AR,Arkansas,Franklin,047
AR,Arkansas,Fulton,049
AR,Arkansas,Garland,051
AR,Arkansas,Grant,053
AR,Arkansas,Greene,055
AR,Arkansas,Hempstead,057
AR,Arkansas,Hot Spring,059
AR,Arkansas,Howard,061
AR,Arkansas,Independence,063
AR,Arkansas,Izard,065
AR,Arkansas,Jackson,067
AR,Arkansas,Jefferson,069
AR,Arkansas,Johnson,071
AR,Arkansas,Lafayette,073
AR,Arkansas,Lawrence,075
AR,Arkansas,Lee,077
AR,Arkansas,Lincoln,079
AR,Arkansas,Little River,081
AR,Arkansas,Logan,083
AR,Arkansas,Lonoke,085
AR,Arkansas,Madison,087
AR,Arkansas,Marion,089
AR,Arkansas,Miller,091
AR,Arkansas,Mississippi,093
AR,Arkansas,Monroe,095
AR,Arkansas,Montgomery,097
AR,Arkansas,Nevada,099
AR,Arkansas,Newton,101
AR,Arkansas,Ouachita,103
AR,Arkansas,Perry,105
AR,Arkansas,Phillips,107
AR,Arkansas,Pike,109
AR,Arkansas,Poinsett,111
AR,Arkansas,Polk,113
AR,Arkansas,Pope,115
AR,Arkansas,Prairie,117
AR,Arkansas,Pulaski,119
AR,Arkansas,Randolph,121
AR,Arkansas,St. Francis,123
AR,Arkansas,Saline,125
AR,Arkansas,Scott,127
AR,Arkansas,Searcy,129
AR,Arkansas,Sebastian,131
AR,Arkansas,Sevier,133
AR,Arkansas,Sharp,135
AR,Arkansas,Stone,137
AR,Arkansas,Union,139
AR,Arkansas,Van Buren,141
AR,Arkansas,Washington,143
AR,Arkansas,White,145
AR,Arkansas,Woodruff,147
AR,Arkansas,Yell,149
AS,American Samoa,Eastern,010
AS,American Samoa,Manu'a,020
AS,American Samoa,Western,050
AZ,Arizona,Apache,001
AZ,Arizona,Cochise,003
AZ,Arizona,Coconino,005
AZ,Arizona,Gila,007
AZ,Arizona,Graham,009
AZ,Arizona,Greenlee,011
AZ,Arizona,La Paz,012
AZ,Arizona,Maricopa,013
AZ,Arizona,Mohave,015
AZ,Arizona,Navajo,017
AZ,Arizona,Pima,019
AZ,Arizona,Pinal,021
AZ,Arizona,Santa Cruz,023
AZ,Arizona,Yavapai,025
AZ,Arizona,Yuma,027
CA,California,Alameda,001
CA,California,Alpine,003
CA,California,Amador,005
CA,California,Butte,007
CA,California,Calaveras,009
CA,California,Colusa,011
CA,California,Contra Costa,013
CA,California,Del Norte,015
CA,California,El Dorado,017
CA,California,Fresno,019
CA,California,Glenn,021
CA,California,Humboldt,023
CA,California,Imperial,025
CA,California,Inyo,027
CA,California,Kern,029
CA,California,Kings,031
CA,California,Lake,033
CA,California,Lassen,035
CA,California,Los Angeles,037
CA,California,Madera,039
CA,California,Marin,041
CA,California,Mariposa,043
CA,California,Mendocino,045
CA,California,Merced,047
CA,California,Modoc,049
CA,California,Mono,051
CA,California,Monterey,053
CA,California,Napa,055
CA,California,Nevada,057
CA,California,Orange,059
CA,California,Placer,061
CA,California,Plumas,063
CA,California,Riverside,065
CA,California,Sacramento,067
CA,California,San Benito,069
CA,California,San Bernardino,071
CA,California,San Diego,073
CA,California,San Francisco,075
CA,California,San Joaquin,077
CA,California,San Luis Obispo,079
CA,California,San Mateo,081
CA,California,Santa Barbara,083
CA,California,Santa Clara,085
CA,California,Santa Cruz,087
CA,California,Shasta,089
CA,California,Sierra,091
CA,California,Siskiyou,093
CA,California,Solano,095
CA,California,Sonoma,097
CA,California,Stanislaus,099
CA,California,Sutter,101
CA,California,Tehama,103
CA,California,Trinity,105
CA,California,Tulare,107
CA,California,Tuolumne,109
CA,California,Ventura,111
CA,California,Yolo,113
CA,California,Yuba,115
CHI,Chicago,Cook,031
CO,Colorado,Adams,001
CO,Colorado,Alamosa,003
CO,Colorado,Arapahoe,005
CO,Colorado,Archuleta,007
CO,Colorado,Baca,009
CO,Colorado,Bent,011
CO,Colorado,Boulder,013
CO,Colorado,Broomfield,014
CO,Colorado,Chaffee,015
CO,Colorado,Cheyenne,017
CO,Colorado,Clear Creek,019
CO,Colorado,Conejos,021
CO,Colorado,Costilla,023
CO,Colorado,Crowley,025
CO,Colorado,Custer,027
CO,Colorado,Delta,029
CO,Colorado,Denver,031
CO,Colorado,Dolores,033
CO,Colorado,Douglas,035
CO,Colorado,Eagle,037
CO,Colorado,Elbert,039
CO,Colorado,El Paso,041
CO,Colorado,Fremont,043
CO,Colorado,Garfield,045
CO,Colorado,Gilpin,047
CO,Colorado,Grand,049
CO,Colorado,Gunnison,051
CO,Colorado,Hinsdale,053
CO,Colorado,Huerfano,055
CO,Colorado,Jackson,057
CO,Colorado,Jefferson,059
CO,Colorado,Kiowa,061
CO,Colorado,Kit Carson,063
CO,Colorado,Lake,065
CO,Colorado,La Plata,067
CO,Colorado,Larimer,069
CO,Colorado,Las Animas,071
CO,Colorado,Lincoln,073
CO,Colorado,Logan,075
CO,Colorado,Mesa,077
CO,Colorado,Mineral,079
CO,Colorado,Moffat,081
CO,Colorado,Montezuma,083
CO,Colorado,Montrose,085
CO,Colorado,Morgan,087
CO,Colorado,Otero,089
CO,Colorado,Ouray,091
CO,Colorado,Park,093
CO,Colorado,Phillips,095
CO,Colorado,Pitkin,097
CO,Colorado,Prowers,099
CO,Colorado,Pueblo,101
CO,Colorado,Rio Blanco,103
CO,Colorado,Rio Grande,105
CO,Colorado,Routt,107
CO,Colorado,Saguache,109
CO,Colorado,San Juan,111
CO,Colorado,San Miguel,113
CO,Colorado,Sedgwick,115
CO,Colorado,Summit,117
CO,Colorado,Teller,119
CO,Colorado,Washington,121
CO,Colorado,Weld,123
CO,Colorado,Yuma,125
CT,Connecticut,Fairfield,001
CT,Connecticut,Hartford,003
CT,Connecticut,Litchfield,005
CT,Connecticut,Middlesex,007
CT,Connecticut,New Haven,009
CT,Connecticut,New London,011
CT,Connecticut,Tolland,013
CT,Connecticut,Windham,015
DC,District of Columbia,District of Columbia,001
DE,Delaware,Kent,001
DE,Delaware,New Castle,003
DE,Delaware,Sussex,005
FL,Florida,Alachua,001
FL,Florida,Baker,003
FL,Florida,Bay,005
FL,Florida,Bradford,007
FL,Florida,Brevard,009
FL,Florida,Broward,011
FL,Florida,Calhoun,013
FL,Florida,Charlotte,015
FL,Florida,Citrus,017
FL,Florida,Clay,019
FL,Florida,Collier,021
FL,Florida,Columbia,023
FL,Florida,DeSoto,027
FL,Florida,Dixie,029
FL,Florida,Duval,031
FL,Florida,Escambia,033
FL,Florida,Flagler,035
FL,Florida,Franklin,037
FL,Florida,Gadsden,039
FL,Florida,Gilchrist,041
FL,Florida,Glades,043
FL,Florida,Gulf,045
FL,Florida,Hamilton,047
FL,Florida,Hardee,049
FL,Florida,Hendry,051
FL,Florida,Hernando,053
FL,Florida,Highlands,055
FL,Florida,Hillsborough,057
FL,Florida,Holmes,059
FL,Florida,Indian River,061
FL,Florida,Jackson,063
FL,Florida,Jefferson,065
FL,Florida,Lafayette,067
FL,Florida,Lake,069
FL,Florida,Lee,071
FL,Florida,Leon,073
FL,Florida,Levy,075
FL,Florida,Liberty,077
FL,Florida,Madison,079
FL,Florida,Manatee,081
FL,Florida,Marion,083
FL,Florida,Martin,085
FL,Florida,Miami-Dade,086
FL,Florida,Monroe,087
FL,Florida,Nassau,089
FL,Florida,Okaloosa,091
FL,Florida,Okeechobee,093
FL,Florida,Orange,095
FL,Florida,Osceola,097
FL,Florida,Palm Beach,099
FL,Florida,Pasco,101
FL,Florida,Pinellas,103
FL,Florida,Polk,105
FL,Florida,Putnam,107
FL,Florida,St. Johns,109
FL,Florida,St. Lucie,111
FL,Florida,Santa Rosa,113
FL,Florida,Sarasota,115
FL,Florida,Seminole,117
FL,Florida,Sumter,119
FL,Florida,Suwannee,121
FL,Florida,Taylor,123
FL,Florida,Union,125
FL,Florida,Volusia,127
FL,Florida,Wakulla,129
FL,Florida,Walton,131
FL,Florida,Washington,133
FM,Federated States of Micronesia,NULL,NULL
GA,Georgia,Appling,001
GA,Georgia,Atkinson,003
GA,Georgia,Bacon,005
GA,Georgia,Baker,007
GA,Georgia,Baldwin,009
GA,Georgia,Banks,011
GA,Georgia,Barrow,013
GA,Georgia,Bartow,015
GA,Georgia,Ben Hill,017
GA,Georgia,Berrien,019
GA,Georgia,Bibb,021
GA,Georgia,Bleckley,023
GA,Georgia,Brantley,025
GA,Georgia,Brooks,027
GA,Georgia,Bryan,029
GA,Georgia,Bulloch,031
GA,Georgia,Burke,033
GA,Georgia,Butts,035
GA,Georgia,Calhoun,037
GA,Georgia,Camden,039
GA,Georgia,Candler,043
GA,Georgia,Carroll,045
GA,Georgia,Catoosa,047
GA,Georgia,Charlton,049
GA,Georgia,Chatham,051
GA,Georgia,Chattahoochee,053
GA,Georgia,Chattooga,055
GA,Georgia,Cherokee,057
GA,Georgia,Clarke,059
GA,Georgia,Clay,061
GA,Georgia,Clayton,063
GA,Georgia,Clinch,065
GA,Georgia,Cobb,067
GA,Georgia,Coffee,069
GA,Georgia,Colquitt,071
GA,Georgia,Columbia,073
GA,Georgia,Cook,075
GA,Georgia,Coweta,077
GA,Georgia,Crawford,079
GA,Georgia,Crisp,081
GA,Georgia,Dade,083
GA,Georgia,Dawson,085
GA,Georgia,Decatur,087
GA,Georgia,DeKalb,089
GA,Georgia,Dodge,091
GA,Georgia,Dooly,093
GA,Georgia,Dougherty,095
GA,Georgia,Douglas,097
GA,Georgia,Early,099
GA,Georgia,Echols,101
GA,Georgia,Effingham,103
GA,Georgia,Elbert,105
GA,Georgia,Emanuel,107
GA,Georgia,Evans,109
GA,Georgia,Fannin,111
GA,Georgia,Fayette,113
GA,Georgia,Floyd,115
GA,Georgia,Forsyth,117
GA,Georgia,Franklin,119
GA,Georgia,Fulton,121
GA,Georgia,Gilmer,123
GA,Georgia,Glascock,125
GA,Georgia,Glynn,127
GA,Georgia,Gordon,129
GA,Georgia,Grady,131
GA,Georgia,Greene,133
GA,Georgia,Gwinnett,135
GA,Georgia,Habersham,137
GA,Georgia,Hall,139
GA,Georgia,Hancock,141
GA,Georgia,Haralson,143
GA,Georgia,Harris,145
GA,Georgia,Hart,147
GA,Georgia,Heard,149
GA,Georgia,Henry,151
GA,Georgia,Houston,153
GA,Georgia,Irwin,155
GA,Georgia,Jackson,157
GA,Georgia,Jasper,159
GA,Georgia,Jeff Davis,161
GA,Georgia,Jefferson,163
GA,Georgia,Jenkins,165
GA,Georgia,Johnson,167
GA,Georgia,Jones,169
GA,Georgia,Lamar,171
GA,Georgia,Lanier,173
GA,Georgia,Laurens,175
GA,Georgia,Lee,177
GA,Georgia,Liberty,179
GA,Georgia,Lincoln,181
GA,Georgia,Long,183
GA,Georgia,Lowndes,185
GA,Georgia,Lumpkin,187
GA,Georgia,McDuffie,189
GA,Georgia,McIntosh,191
GA,Georgia,Macon,193
GA,Georgia,Madison,195
GA,Georgia,Marion,197
GA,Georgia,Meriwether,199
GA,Georgia,Miller,201
GA,Georgia,Mitchell,205
GA,Georgia,Monroe,207
GA,Georgia,Montgomery,209
GA,Georgia,Morgan,211
GA,Georgia,Murray,213
GA,Georgia,Muscogee,215
GA,Georgia,Newton,217
GA,Georgia,Oconee,219
GA,Georgia,Oglethorpe,221
GA,Georgia,Paulding,223
GA,Georgia,Peach,225
GA,Georgia,Pickens,227
GA,Georgia,Pierce,229
GA,Georgia,Pike,231
GA,Georgia,Polk,233
GA,Georgia,Pulaski,235
GA,Georgia,Putnam,237
GA,Georgia,Quitman,239
GA,Georgia,Rabun,241
GA,Georgia,Randolph,243
GA,Georgia,Richmond,245
GA,Georgia,Rockdale,247
GA,Georgia,Schley,249
GA,Georgia,Screven,251
GA,Georgia,Seminole,253
GA,Georgia,Spalding,255
GA,Georgia,Stephens,257
GA,Georgia,Stewart,259
GA,Georgia,Sumter,261
GA,Georgia,Talbot,263
GA,Georgia,Taliaferro,265
GA,Georgia,Tattnall,267
GA,Georgia,Taylor,269
GA,Georgia,Telfair,271
GA,Georgia,Terrell,273
GA,Georgia,Thomas,275
GA,Georgia,Tift,277
GA,Georgia,Toombs,279
GA,Georgia,Towns,281
GA,Georgia,Treutlen,283
GA,Georgia,Troup,285
GA,Georgia,Turner,287
GA,Georgia,Twiggs,289
GA,Georgia,Union,291
GA,Georgia,Upson,293
GA,Georgia,Walker,295
GA,Georgia,Walton,297
GA,Georgia,Ware,299
GA,Georgia,Warren,301
GA,Georgia,Washington,303
GA,Georgia,Wayne,305
GA,Georgia,Webster,307
GA,Georgia,Wheeler,309
GA,Georgia,White,311
GA,Georgia,Whitfield,313
GA,Georgia,Wilcox,315
GA,Georgia,Wilkes,317
GA,Georgia,Wilkinson,319
GA,Georgia,Worth,321
GU,Guam,Guam,010
HI,Hawaii,Hawaii,001
HI,Hawaii,Honolulu,003
HI,Hawaii,Kalawao,005
HI,Hawaii,Kauai,007
HI,Hawaii,Maui,009
IA,Iowa,Adair,001
IA,Iowa,Adams,003
IA,Iowa,Allamakee,005
IA,Iowa,Appanoose,007
IA,Iowa,Audubon,009
IA,Iowa,Benton,011
IA,Iowa,Black Hawk,013
IA,Iowa,Boone,015
IA,Iowa,Bremer,017
IA,Iowa,Buchanan,019
IA,Iowa,Buena Vista,021
IA,Iowa,Butler,023
IA,Iowa,Calhoun,025
IA,Iowa,Carroll,027
IA,Iowa,Cass,029
IA,Iowa,Cedar,031
IA,Iowa,Cerro Gordo,033
IA,Iowa,Cherokee,035
IA,Iowa,Chickasaw,037
IA,Iowa,Clarke,039
IA,Iowa,Clay,041
IA,Iowa,Clayton,043
IA,Iowa,Clinton,045
IA,Iowa,Crawford,047
IA,Iowa,Dallas,049
IA,Iowa,Davis,051
IA,Iowa,Decatur,053
IA,Iowa,Delaware,055
IA,Iowa,Des Moines,057
IA,Iowa,Dickinson,059
IA,Iowa,Dubuque,061
IA,Iowa,Emmet,063
IA,Iowa,Fayette,065
IA,Iowa,Floyd,067
IA,Iowa,Franklin,069
IA,Iowa,Fremont,071
IA,Iowa,Greene,073
IA,Iowa,Grundy,075
IA,Iowa,Guthrie,077
IA,Iowa,Hamilton,079
IA,Iowa,Hancock,081
IA,Iowa,Hardin,083
IA,Iowa,Harrison,085
IA,Iowa,Henry,087
IA,Iowa,Howard,089
IA,Iowa,Humboldt,091
IA,Iowa,Ida,093
IA,Iowa,Iowa,095
IA,Iowa,Jackson,097
IA,Iowa,Jasper,099
IA,Iowa,Jefferson,101
IA,Iowa,Johnson,103
IA,Iowa,Jones,105
IA,Iowa,Keokuk,107
IA,Iowa,Kossuth,109
IA,Iowa,Lee,111
IA,Iowa,Linn,113
IA,Iowa,Louisa,115
IA,Iowa,Lucas,117
IA,Iowa,Lyon,119
IA,Iowa,Madison,121
IA,Iowa,Mahaska,123
IA,Iowa,Marion,125
IA,Iowa,Marshall,127
IA,Iowa,Mills,129
IA,Iowa,Mitchell,131
IA,Iowa,Monona,133
IA,Iowa,Monroe,135
IA,Iowa,Montgomery,137
IA,Iowa,Muscatine,139
IA,Iowa,O'Brien,141
IA,Iowa,Osceola,143
IA,Iowa,Page,145
IA,Iowa,Palo Alto,147
IA,Iowa,Plymouth,149
IA,Iowa,Pocahontas,151
IA,Iowa,Polk,153
IA,Iowa,Pottawattamie,155
IA,Iowa,Poweshiek,157
IA,Iowa,Ringgold,159
IA,Iowa,Sac,161
IA,Iowa,Scott,163
IA,Iowa,Shelby,165
IA,Iowa,Sioux,167
IA,Iowa,Story,169
IA,Iowa,Tama,171
IA,Iowa,Taylor,173
IA,Iowa,Union,175
IA,Iowa,Van Buren,177
IA,Iowa,Wapello,179
IA,Iowa,Warren,181
IA,Iowa,Washington,183
IA,Iowa,Wayne,185
IA,Iowa,Webster,187
IA,Iowa,Winnebago,189
IA,Iowa,Winneshiek,191
IA,Iowa,Woodbury,193
IA,Iowa,Worth,195
IA,Iowa,Wright,197
ID,Idaho,Ada,001
ID,Idaho,Adams,003
ID,Idaho,Bannock,005
ID,Idaho,Bear Lake,007
ID,Idaho,Benewah,009
ID,Idaho,Bingham,011
ID,Idaho,Blaine,013
ID,Idaho,Boise,015
ID,Idaho,Bonner,017
ID,Idaho,Bonneville,019
ID,Idaho,Boundary,021
ID,Idaho,Butte,023
ID,Idaho,Camas,025
ID,Idaho,Canyon,027
ID,Idaho,Caribou,029
ID,Idaho,Cassia,031
ID,Idaho,Clark,033
ID,Idaho,Clearwater,035
ID,Idaho,Custer,037
ID,Idaho,Elmore,039
ID,Idaho,Franklin,041
ID,Idaho,Fremont,043
ID,Idaho,Gem,045
ID,Idaho,Gooding,047
ID,Idaho,Idaho,049
ID,Idaho,Jefferson,051
ID,Idaho,Jerome,053
ID,Idaho,Kootenai,055
ID,Idaho,Latah,057
ID,Idaho,Lemhi,059
ID,Idaho,Lewis,061
ID,Idaho,Lincoln,063
ID,Idaho,Madison,065
ID,Idaho,Minidoka,067
ID,Idaho,Nez Perce,069
ID,Idaho,Oneida,071
ID,Idaho,Owyhee,073
ID,Idaho,Payette,075
ID,Idaho,Power,077
ID,Idaho,Shoshone,079
ID,Idaho,Teton,081
ID,Idaho,Twin Falls,083
ID,Idaho,Valley,085
ID,Idaho,Washington,087
IL,Illinois,Adams,001
IL,Illinois,Alexander,003
IL,Illinois,Bond,005
IL,Illinois,Boone,007
IL,Illinois,Brown,009
IL,Illinois,Bureau,011
IL,Illinois,Calhoun,013
IL,Illinois,Carroll,015
IL,Illinois,Cass,017
IL,Illinois,Champaign,019
IL,Illinois,Christian,021
IL,Illinois,Clark,023
IL,Illinois,Clay,025
IL,Illinois,Clinton,027
IL,Illinois,Coles,029
IL,Illinois,Cook,031
IL,Illinois,Crawford,033
IL,Illinois,Cumberland,035
IL,Illinois,DeKalb,037
IL,Illinois,De Witt,039
IL,Illinois,Douglas,041
IL,Illinois,DuPage,043
IL,Illinois,Edgar,045
IL,Illinois,Edwards,047
IL,Illinois,Effingham,049
IL,Illinois,Fayette,051
IL,Illinois,Ford,053
IL,Illinois,Franklin,055
IL,Illinois,Fulton,057
IL,Illinois,Gallatin,059
IL,Illinois,Greene,061
IL,Illinois,Grundy,063
IL,Illinois,Hamilton,065
IL,Illinois,Hancock,067
IL,Illinois,Hardin,069
IL,Illinois,Henderson,071
IL,Illinois,Henry,073
IL,Illinois,Iroquois,075
IL,Illinois,Jackson,077
IL,Illinois,Jasper,079
IL,Illinois,Jefferson,081
IL,Illinois,Jersey,083
IL,Illinois,Jo Daviess,085
IL,Illinois,Johnson,087
IL,Illinois,Kane,089
IL,Illinois,Kankakee,091
IL,Illinois,Kendall,093
IL,Illinois,Knox,095
IL,Illinois,Lake,097
IL,Illinois,LaSalle,099
IL,Illinois,Lawrence,101
IL,Illinois,Lee,103
IL,Illinois,Livingston,105
IL,Illinois,Logan,107
IL,Illinois,McDonough,109
IL,Illinois,McHenry,111
IL,Illinois,McLean,113
IL,Illinois,Macon,115
IL,Illinois,Macoupin,117
IL,Illinois,Madison,119
IL,Illinois,Marion,121
IL,Illinois,Marshall,123
IL,Illinois,Mason,125
IL,Illinois,Massac,127
IL,Illinois,Menard,129
IL,Illinois,Mercer,131
IL,Illinois,Monroe,133
IL,Illinois,Montgomery,135
IL,Illinois,Morgan,137
IL,Illinois,Moultrie,139
IL,Illinois,Ogle,141
IL,Illinois,Peoria,143
IL,Illinois,Perry,145
IL,Illinois,Piatt,147
IL,Illinois,Pike,149
IL,Illinois,Pope,151
IL,Illinois,Pulaski,153
IL,Illinois,Putnam,155
IL,Illinois,Randolph,157
IL,Illinois,Richland,159
IL,Illinois,Rock Island,161
IL,Illinois,St. Clair,163
IL,Illinois,Saline,165
IL,Illinois,Sangamon,167
IL,Illinois,Schuyler,169
IL,Illinois,Scott,171
IL,Illinois,Shelby,173
IL,Illinois,Stark,175
IL,Illinois,Stephenson,177
IL,Illinois,Tazewell,179
IL,Illinois,Union,181
IL,Illinois,Vermilion,183
IL,Illinois,Wabash,185
IL,Illinois,Warren,187
IL,Illinois,Washington,189
IL,Illinois,Wayne,191
IL,Illinois,White,193
IL,Illinois,Whiteside,195
IL,Illinois,Will,197
IL,Illinois,Williamson,199
IL,Illinois,Winnebago,201
IL,Illinois,Woodford,203
IN,Indiana,Adams,001
IN,Indiana,Allen,003
IN,Indiana,Bartholomew,005
IN,Indiana,Benton,007
IN,Indiana,Blackford,009
IN,Indiana,Boone,011
IN,Indiana,Brown,013
IN,Indiana,Carroll,015
IN,Indiana,Cass,017
IN,Indiana,Clark,019
IN,Indiana,Clay,021
IN,Indiana,Clinton,023
IN,Indiana,Crawford,025
IN,Indiana,Daviess,027
IN,Indiana,Dearborn,029
IN,Indiana,Decatur,031
IN,Indiana,DeKalb,033
IN,Indiana,Delaware,035
IN,Indiana,Dubois,037
IN,Indiana,Elkhart,039
IN,Indiana,Fayette,041
IN,Indiana,Floyd,043
IN,Indiana,Fountain,045
IN,Indiana,Franklin,047
IN,Indiana,Fulton,049
IN,Indiana,Gibson,051
IN,Indiana,Grant,053
IN,Indiana,Greene,055
IN,Indiana,Hamilton,057
IN,Indiana,Hancock,059
IN,Indiana,Harrison,061
IN,Indiana,Hendricks,063
IN,Indiana,Henry,065
IN,Indiana,Howard,067
IN,Indiana,Huntington,069
IN,Indiana,Jackson,071
IN,Indiana,Jasper,073
IN,Indiana,Jay,075
IN,Indiana,Jefferson,077
IN,Indiana,Jennings,079
IN,Indiana,Johnson,081
IN,Indiana,Knox,083
IN,Indiana,Kosciusko,085
IN,Indiana,LaGrange,087
IN,Indiana,Lake,089
IN,Indiana,LaPorte,091
IN,Indiana,Lawrence,093
IN,Indiana,Madison,095
IN,Indiana,Marion,097
IN,Indiana,Marshall,099
IN,Indiana,Martin,101
IN,Indiana,Miami,103
IN,Indiana,Monroe,105
IN,Indiana,Montgomery,107
IN,Indiana,Morgan,109
IN,Indiana,Newton,111
IN,Indiana,Noble,113
IN,Indiana,Ohio,115
IN,Indiana,Orange,117
IN,Indiana,Owen,119
IN,Indiana,Parke,121
IN,Indiana,Perry,123
IN,Indiana,Pike,125
IN,Indiana,Porter,127
IN,Indiana,Posey,129
IN,Indiana,Pulaski,131
IN,Indiana,Putnam,133
IN,Indiana,Randolph,135
IN,Indiana,Ripley,137
IN,Indiana,Rush,139
IN,Indiana,St. Joseph,141
IN,Indiana,Scott,143
IN,Indiana,Shelby,145
IN,Indiana,Spencer,147
IN,Indiana,Starke,149
IN,Indiana,Steuben,151
IN,Indiana,Sullivan,153
IN,Indiana,Switzerland,155
IN,Indiana,Tippecanoe,157
IN,Indiana,Tipton,159
IN,Indiana,Union,161
IN,Indiana,Vanderburgh,163
IN,Indiana,Vermillion,165
IN,Indiana,Vigo,167
IN,Indiana,Wabash,169
IN,Indiana,Warren,171
IN,Indiana,Warrick,173
IN,Indiana,Washington,175
IN,Indiana,Wayne,177
IN,Indiana,Wells,179
IN,Indiana,White,181
IN,Indiana,Whitley,183
KS,Kansas,Allen,001
KS,Kansas,Anderson,003
KS,Kansas,Atchison,005
KS,Kansas,Barber,007
KS,Kansas,Barton,009
KS,Kansas,Bourbon,011
KS,Kansas,Brown,013
KS,Kansas,Butler,015
KS,Kansas,Chase,017
KS,Kansas,Chautauqua,019
KS,Kansas,Cherokee,021
KS,Kansas,Cheyenne,023
KS,Kansas,Clark,025
KS,Kansas,Clay,027
KS,Kansas,Cloud,029
KS,Kansas,Coffey,031
KS,Kansas,Comanche,033
KS,Kansas,Cowley,035
KS,Kansas,Crawford,037
KS,Kansas,Decatur,039
KS,Kansas,Dickinson,041
KS,Kansas,Doniphan,043
KS,Kansas,Douglas,045
KS,Kansas,Edwards,047
KS,Kansas,Elk,049
KS,Kansas,Ellis,051
KS,Kansas,Ellsworth,053
KS,Kansas,Finney,055
KS,Kansas,Ford,057
KS,Kansas,Franklin,059
KS,Kansas,Geary,061
KS,Kansas,Gove,063
KS,Kansas,Graham,065
KS,Kansas,Grant,067
KS,Kansas,Gray,069
